Ano Censo,Número de Funções Docentes,Abragência Geográfica (IES),Região,UF
2010,345335,BRASIL,,
2010,31288,CENTRO-OESTE,CENTRO-OESTE,
2010,8642,DISTRITO FEDERAL,CENTRO-OESTE,DISTRITO FEDERAL
2010,12132,GOIÁS,CENTRO-OESTE,GOIÁS
2010,6272,MATO GROSSO,CENTRO-OESTE,MATO GROSSO
2010,4242,MATO GROSSO DO SUL,CENTRO-OESTE,MATO GROSSO DO SUL
2010,68011,NORDESTE,NORDESTE,
2010,4029,ALAGOAS,NORDESTE,ALAGOAS
2010,16757,BAHIA,NORDESTE,BAHIA
2010,8822,CEARÁ,NORDESTE,CEARÁ
2010,4899,MARANHÃO,NORDESTE,MARANHÃO
2010,8022,PARAÍBA,NORDESTE,PARAÍBA
2010,11514,PERNAMBUCO,NORDESTE,PERNAMBUCO
2010,5739,PIAUÍ,NORDESTE,PIAUÍ
2010,5661,RIO GRANDE DO NORTE,NORDESTE,RIO GRANDE DO NORTE
2010,2568,SERGIPE,NORDESTE,SERGIPE
2010,21669,NORTE,NORTE,
2010,962,ACRE,NORTE,ACRE
2010,1116,AMAPÁ,NORTE,AMAPÁ
2010,5410,AMAZONAS,NORTE,AMAZONAS
2010,7506,PARÁ,NORTE,PARÁ
2010,2655,RONDÔNIA,NORTE,RONDÔNIA
2010,936,RORAIMA,NORTE,RORAIMA
2010,3084,TOCANTINS,NORTE,TOCANTINS
2010,160297,SUDESTE,SUDESTE,
2010,6653,ESPÍRITO SANTO,SUDESTE,ESPÍRITO SANTO
2010,39440,MINAS GERAIS,SUDESTE,MINAS GERAIS
2010,32863,RIO DE JANEIRO,SUDESTE,RIO DE JANEIRO
2010,81341,SÃO PAULO,SUDESTE,SÃO PAULO
2010,64070,SUL,SUL,
2010,25615,PARANÁ,SUL,PARANÁ
2010,22773,RIO GRANDE DO SUL,SUL,RIO GRANDE DO SUL
2010,15682,SANTA CATARINA,SUL,SANTA CATARINA
