Ano Censo,Número de Funções Docentes,Abragência Geográfica (IES),Região,UF
2011,357418,BRASIL,,
2011,31986,CENTRO-OESTE,CENTRO-OESTE,
2011,8270,DISTRITO FEDERAL,CENTRO-OESTE,DISTRITO FEDERAL
2011,12539,GOIÁS,CENTRO-OESTE,GOIÁS
2011,6454,MATO GROSSO,CENTRO-OESTE,MATO GROSSO
2011,4723,MATO GROSSO DO SUL,CENTRO-OESTE,MATO GROSSO DO SUL
2011,70827,NORDESTE,NORDESTE,
2011,4344,ALAGOAS,NORDESTE,ALAGOAS
2011,17101,BAHIA,NORDESTE,BAHIA
2011,9178,CEARÁ,NORDESTE,CEARÁ
2011,5115,MARANHÃO,NORDESTE,MARANHÃO
2011,7868,PARAÍBA,NORDESTE,PARAÍBA
2011,12706,PERNAMBUCO,NORDESTE,PERNAMBUCO
2011,5638,PIAUÍ,NORDESTE,PIAUÍ
2011,6169,RIO GRANDE DO NORTE,NORDESTE,RIO GRANDE DO NORTE
2011,2708,SERGIPE,NORDESTE,SERGIPE
2011,22544,NORTE,NORTE,
2011,1090,ACRE,NORTE,ACRE
2011,1250,AMAPÁ,NORTE,AMAPÁ
2011,5592,AMAZONAS,NORTE,AMAZONAS
2011,7541,PARÁ,NORTE,PARÁ
2011,2819,RONDÔNIA,NORTE,RONDÔNIA
2011,1094,RORAIMA,NORTE,RORAIMA
2011,3158,TOCANTINS,NORTE,TOCANTINS
2011,165952,SUDESTE,SUDESTE,
2011,6829,ESPÍRITO SANTO,SUDESTE,ESPÍRITO SANTO
2011,40688,MINAS GERAIS,SUDESTE,MINAS GERAIS
2011,33306,RIO DE JANEIRO,SUDESTE,RIO DE JANEIRO
2011,85129,SÃO PAULO,SUDESTE,SÃO PAULO
2011,66109,SUL,SUL,
2011,26805,PARANÁ,SUL,PARANÁ
2011,23142,RIO GRANDE DO SUL,SUL,RIO GRANDE DO SUL
2011,16162,SANTA CATARINA,SUL,SANTA CATARINA
