Ano Censo,Número de Funções Docentes,Abragência Geográfica (IES),Região,UF
2009,340817,BRASIL,,
2009,29896,CENTRO-OESTE,CENTRO-OESTE,
2009,8596,DISTRITO FEDERAL,CENTRO-OESTE,DISTRITO FEDERAL
2009,11174,GOIÁS,CENTRO-OESTE,GOIÁS
2009,5646,MATO GROSSO,CENTRO-OESTE,MATO GROSSO
2009,4480,MATO GROSSO DO SUL,CENTRO-OESTE,MATO GROSSO DO SUL
2009,65935,NORDESTE,NORDESTE,
2009,3922,ALAGOAS,NORDESTE,ALAGOAS
2009,16623,BAHIA,NORDESTE,BAHIA
2009,8384,CEARÁ,NORDESTE,CEARÁ
2009,4527,MARANHÃO,NORDESTE,MARANHÃO
2009,7145,PARAÍBA,NORDESTE,PARAÍBA
2009,11271,PERNAMBUCO,NORDESTE,PERNAMBUCO
2009,5757,PIAUÍ,NORDESTE,PIAUÍ
2009,5652,RIO GRANDE DO NORTE,NORDESTE,RIO GRANDE DO NORTE
2009,2654,SERGIPE,NORDESTE,SERGIPE
2009,21361,NORTE,NORTE,
2009,1063,ACRE,NORTE,ACRE
2009,1013,AMAPÁ,NORTE,AMAPÁ
2009,5150,AMAZONAS,NORTE,AMAZONAS
2009,7507,PARÁ,NORTE,PARÁ
2009,2355,RONDÔNIA,NORTE,RONDÔNIA
2009,1061,RORAIMA,NORTE,RORAIMA
2009,3212,TOCANTINS,NORTE,TOCANTINS
2009,160106,SUDESTE,SUDESTE,
2009,6511,ESPÍRITO SANTO,SUDESTE,ESPÍRITO SANTO
2009,39705,MINAS GERAIS,SUDESTE,MINAS GERAIS
2009,32586,RIO DE JANEIRO,SUDESTE,RIO DE JANEIRO
2009,81304,SÃO PAULO,SUDESTE,SÃO PAULO
2009,63519,SUL,SUL,
2009,25366,PARANÁ,SUL,PARANÁ
2009,22558,RIO GRANDE DO SUL,SUL,RIO GRANDE DO SUL
2009,15595,SANTA CATARINA,SUL,SANTA CATARINA
