Ano Censo,Categoria Administrativa,Sub Categoria Administrativa,Id Categoria Administrativa,Número de Vínculos de Alunos,Região,UF,Nome Região
2009,PÚBLICA,FEDERAL,1,302,-,-,-
2009,PÚBLICA,FEDERAL,1,22731,CENTRO-OESTE,DISTRITO FEDERAL,CENTRO-OESTE
2009,PÚBLICA,FEDERAL,1,22144,CENTRO-OESTE,GOIÁS,CENTRO-OESTE
2009,PÚBLICA,FEDERAL,1,19694,CENTRO-OESTE,MATO GROSSO,CENTRO-OESTE
2009,PÚBLICA,FEDERAL,1,17275,CENTRO-OESTE,MATO GROSSO DO SUL,CENTRO-OESTE
2009,PÚBLICA,FEDERAL,1,20564,NORDESTE,ALAGOAS,NORDESTE
2009,PÚBLICA,FEDERAL,1,33179,NORDESTE,BAHIA,NORDESTE
2009,PÚBLICA,FEDERAL,1,31824,NORDESTE,CEARÁ,NORDESTE
2009,PÚBLICA,FEDERAL,1,18421,NORDESTE,MARANHÃO,NORDESTE
2009,PÚBLICA,FEDERAL,1,38812,NORDESTE,PARAÍBA,NORDESTE
2009,PÚBLICA,FEDERAL,1,41047,NORDESTE,PERNAMBUCO,NORDESTE
2009,PÚBLICA,FEDERAL,1,28731,NORDESTE,PIAUÍ,NORDESTE
2009,PÚBLICA,FEDERAL,1,30617,NORDESTE,RIO GRANDE DO NORTE,NORDESTE
2009,PÚBLICA,FEDERAL,1,21141,NORDESTE,SERGIPE,NORDESTE
2009,PÚBLICA,FEDERAL,1,12047,NORTE,ACRE,NORTE
2009,PÚBLICA,FEDERAL,1,4838,NORTE,AMAPÁ,NORTE
2009,PÚBLICA,FEDERAL,1,23631,NORTE,AMAZONAS,NORTE
2009,PÚBLICA,FEDERAL,1,35858,NORTE,PARÁ,NORTE
2009,PÚBLICA,FEDERAL,1,7625,NORTE,RONDÔNIA,NORTE
2009,PÚBLICA,FEDERAL,1,6914,NORTE,RORAIMA,NORTE
2009,PÚBLICA,FEDERAL,1,9911,NORTE,TOCANTINS,NORTE
2009,PÚBLICA,FEDERAL,1,23005,SUDESTE,ESPÍRITO SANTO,SUDESTE
2009,PÚBLICA,FEDERAL,1,106681,SUDESTE,MINAS GERAIS,SUDESTE
2009,PÚBLICA,FEDERAL,1,102171,SUDESTE,RIO DE JANEIRO,SUDESTE
2009,PÚBLICA,FEDERAL,1,24384,SUDESTE,SÃO PAULO,SUDESTE
2009,PÚBLICA,FEDERAL,1,42486,SUL,PARANÁ,SUL
2009,PÚBLICA,FEDERAL,1,69572,SUL,RIO GRANDE DO SUL,SUL
2009,PÚBLICA,FEDERAL,1,23792,SUL,SANTA CATARINA,SUL
2009,PÚBLICA,ESTADUAL,2,2894,CENTRO-OESTE,DISTRITO FEDERAL,CENTRO-OESTE
2009,PÚBLICA,ESTADUAL,2,25218,CENTRO-OESTE,GOIÁS,CENTRO-OESTE
2009,PÚBLICA,ESTADUAL,2,17955,CENTRO-OESTE,MATO GROSSO,CENTRO-OESTE
2009,PÚBLICA,ESTADUAL,2,7631,CENTRO-OESTE,MATO GROSSO DO SUL,CENTRO-OESTE
2009,PÚBLICA,ESTADUAL,2,9005,NORDESTE,ALAGOAS,NORDESTE
2009,PÚBLICA,ESTADUAL,2,54065,NORDESTE,BAHIA,NORDESTE
2009,PÚBLICA,ESTADUAL,2,31870,NORDESTE,CEARÁ,NORDESTE
