Ano Censo,Categoria Administrativa,Sub Categoria Administrativa,Id Categoria Administrativa,Número de Vínculos de Alunos,Região,UF,Nome Região
2010,PÚBLICA,FEDERAL,1,284,-,-,-
2010,PÚBLICA,FEDERAL,1,25038,CENTRO-OESTE,DISTRITO FEDERAL,CENTRO-OESTE
2010,PÚBLICA,FEDERAL,1,25076,CENTRO-OESTE,GOIÁS,CENTRO-OESTE
2010,PÚBLICA,FEDERAL,1,22153,CENTRO-OESTE,MATO GROSSO,CENTRO-OESTE
2010,PÚBLICA,FEDERAL,1,18896,CENTRO-OESTE,MATO GROSSO DO SUL,CENTRO-OESTE
2010,PÚBLICA,FEDERAL,1,25400,NORDESTE,ALAGOAS,NORDESTE
2010,PÚBLICA,FEDERAL,1,36913,NORDESTE,BAHIA,NORDESTE
2010,PÚBLICA,FEDERAL,1,33038,NORDESTE,CEARÁ,NORDESTE
2010,PÚBLICA,FEDERAL,1,19415,NORDESTE,MARANHÃO,NORDESTE
2010,PÚBLICA,FEDERAL,1,45762,NORDESTE,PARAÍBA,NORDESTE
2010,PÚBLICA,FEDERAL,1,47102,NORDESTE,PERNAMBUCO,NORDESTE
2010,PÚBLICA,FEDERAL,1,26697,NORDESTE,PIAUÍ,NORDESTE
2010,PÚBLICA,FEDERAL,1,31426,NORDESTE,RIO GRANDE DO NORTE,NORDESTE
2010,PÚBLICA,FEDERAL,1,26124,NORDESTE,SERGIPE,NORDESTE
2010,PÚBLICA,FEDERAL,1,13686,NORTE,ACRE,NORTE
2010,PÚBLICA,FEDERAL,1,6318,NORTE,AMAPÁ,NORTE
2010,PÚBLICA,FEDERAL,1,23817,NORTE,AMAZONAS,NORTE
2010,PÚBLICA,FEDERAL,1,41668,NORTE,PARÁ,NORTE
2010,PÚBLICA,FEDERAL,1,8477,NORTE,RONDÔNIA,NORTE
2010,PÚBLICA,FEDERAL,1,7944,NORTE,RORAIMA,NORTE
2010,PÚBLICA,FEDERAL,1,13457,NORTE,TOCANTINS,NORTE
2010,PÚBLICA,FEDERAL,1,25700,SUDESTE,ESPÍRITO SANTO,SUDESTE
2010,PÚBLICA,FEDERAL,1,123263,SUDESTE,MINAS GERAIS,SUDESTE
2010,PÚBLICA,FEDERAL,1,106425,SUDESTE,RIO DE JANEIRO,SUDESTE
2010,PÚBLICA,FEDERAL,1,26123,SUDESTE,SÃO PAULO,SUDESTE
2010,PÚBLICA,FEDERAL,1,54236,SUL,PARANÁ,SUL
2010,PÚBLICA,FEDERAL,1,78030,SUL,RIO GRANDE DO SUL,SUL
2010,PÚBLICA,FEDERAL,1,26188,SUL,SANTA CATARINA,SUL
2010,PÚBLICA,ESTADUAL,2,1438,CENTRO-OESTE,DISTRITO FEDERAL,CENTRO-OESTE
2010,PÚBLICA,ESTADUAL,2,22186,CENTRO-OESTE,GOIÁS,CENTRO-OESTE
2010,PÚBLICA,ESTADUAL,2,15987,CENTRO-OESTE,MATO GROSSO,CENTRO-OESTE
2010,PÚBLICA,ESTADUAL,2,7474,CENTRO-OESTE,MATO GROSSO DO SUL,CENTRO-OESTE
2010,PÚBLICA,ESTADUAL,2,9719,NORDESTE,ALAGOAS,NORDESTE
2010,PÚBLICA,ESTADUAL,2,50547,NORDESTE,BAHIA,NORDESTE
2010,PÚBLICA,ESTADUAL,2,33375,NORDESTE,CEARÁ,NORDESTE
2010,PÚBLICA,ESTADUAL,2,23836,NORDESTE,MARANHÃO,NORDESTE
2010,PÚBLICA,ESTADUAL,2,13290,NORDESTE,PARAÍBA,NORDESTE
2010,PÚBLICA,ESTADUAL,2,20308,NORDESTE,PERNAMBUCO,NORDESTE
2010,PÚBLICA,ESTADUAL,2,18309,NORDESTE,PIAUÍ,NORDESTE
2010,PÚBLICA,ESTADUAL,2,12197,NORDESTE,RIO GRANDE DO NORTE,NORDESTE
2010,PÚBLICA,ESTADUAL,2,97,NORDESTE,SERGIPE,NORDESTE
2010,PÚBLICA,ESTADUAL,2,404,NORTE,ACRE,NORTE
2010,PÚBLICA,ESTADUAL,2,1639,NORTE,AMAPÁ,NORTE
2010,PÚBLICA,ESTADUAL,2,22081,NORTE,AMAZONAS,NORTE
2010,PÚBLICA,ESTADUAL,2,14427,NORTE,PARÁ,NORTE
2010,PÚBLICA,ESTADUAL,2,1453,NORTE,RONDÔNIA,NORTE
2010,PÚBLICA,ESTADUAL,2,3435,NORTE,RORAIMA,NORTE
2010,PÚBLICA,ESTADUAL,2,20467,NORTE,TOCANTINS,NORTE
2010,PÚBLICA,ESTADUAL,2,1369,SUDESTE,ESPÍRITO SANTO,SUDESTE
2010,PÚBLICA,ESTADUAL,2,22450,SUDESTE,MINAS GERAIS,SUDESTE
2010,PÚBLICA,ESTADUAL,2,38302,SUDESTE,RIO DE JANEIRO,SUDESTE
2010,PÚBLICA,ESTADUAL,2,153380,SUDESTE,SÃO PAULO,SUDESTE
2010,PÚBLICA,ESTADUAL,2,77834,SUL,PARANÁ,SUL
2010,PÚBLICA,ESTADUAL,2,3346,SUL,RIO GRANDE DO SUL,SUL
2010,PÚBLICA,ESTADUAL,2,11762,SUL,SANTA CATARINA,SUL
2010,PÚBLICA,MUNICIPAL,3,9493,CENTRO-OESTE,GOIÁS,CENTRO-OESTE
2010,PÚBLICA,MUNICIPAL,3,20533,NORDESTE,PERNAMBUCO,NORDESTE
