Ano Censo,Categoria Administrativa,Sub Categoria Administrativa,Id Categoria Administrativa,Número de Vínculos de Alunos,Região,UF,Nome Região
2013,PÚBLICA,MUNICIPAL,3,140,NORDESTE,CEARÁ,NORDESTE
2013,PÚBLICA,MUNICIPAL,3,96,NORDESTE,MARANHÃO,NORDESTE
2013,PÚBLICA,MUNICIPAL,3,68,NORDESTE,PARAÍBA,NORDESTE
2013,PÚBLICA,MUNICIPAL,3,22428,NORDESTE,PERNAMBUCO,NORDESTE
2013,PÚBLICA,MUNICIPAL,3,81,NORDESTE,PIAUÍ,NORDESTE
2013,PÚBLICA,MUNICIPAL,3,68,NORDESTE,RIO GRANDE DO NORTE,NORDESTE
2013,PÚBLICA,MUNICIPAL,3,41,NORDESTE,SERGIPE,NORDESTE
2013,PÚBLICA,MUNICIPAL,3,45,NORTE,ACRE,NORTE
2013,PÚBLICA,MUNICIPAL,3,22,NORTE,AMAPÁ,NORTE
2013,PÚBLICA,MUNICIPAL,3,354,NORTE,AMAZONAS,NORTE
2013,PÚBLICA,MUNICIPAL,3,239,NORTE,PARÁ,NORTE
2013,PÚBLICA,MUNICIPAL,3,68,NORTE,RONDÔNIA,NORTE
2013,PÚBLICA,MUNICIPAL,3,54,NORTE,RORAIMA,NORTE
2013,PÚBLICA,MUNICIPAL,3,5979,NORTE,TOCANTINS,NORTE
2013,PÚBLICA,MUNICIPAL,3,612,SUDESTE,ESPÍRITO SANTO,SUDESTE
2013,PÚBLICA,MUNICIPAL,3,973,SUDESTE,MINAS GERAIS,SUDESTE
2013,PÚBLICA,MUNICIPAL,3,1660,SUDESTE,RIO DE JANEIRO,SUDESTE
2013,PÚBLICA,MUNICIPAL,3,50183,SUDESTE,SÃO PAULO,SUDESTE
2013,PÚBLICA,MUNICIPAL,3,3465,SUL,PARANÁ,SUL
2013,PÚBLICA,MUNICIPAL,3,2223,SUL,RIO GRANDE DO SUL,SUL
2013,PÚBLICA,MUNICIPAL,3,87532,SUL,SANTA CATARINA,SUL
