Ano Censo,Categoria Administrativa,Sub Categoria Administrativa,Id Categoria Administrativa,Número de Vínculos de Alunos,Região,UF,Nome Região
2012,PÚBLICA,FEDERAL,1,28885,CENTRO-OESTE,DISTRITO FEDERAL,CENTRO-OESTE
2012,PÚBLICA,FEDERAL,1,29266,CENTRO-OESTE,GOIÁS,CENTRO-OESTE
2012,PÚBLICA,FEDERAL,1,22774,CENTRO-OESTE,MATO GROSSO,CENTRO-OESTE
2012,PÚBLICA,FEDERAL,1,21412,CENTRO-OESTE,MATO GROSSO DO SUL,CENTRO-OESTE
2012,PÚBLICA,FEDERAL,1,31754,NORDESTE,ALAGOAS,NORDESTE
2012,PÚBLICA,FEDERAL,1,41828,NORDESTE,BAHIA,NORDESTE
2012,PÚBLICA,FEDERAL,1,38508,NORDESTE,CEARÁ,NORDESTE
2012,PÚBLICA,FEDERAL,1,25277,NORDESTE,MARANHÃO,NORDESTE
2012,PÚBLICA,FEDERAL,1,51733,NORDESTE,PARAÍBA,NORDESTE
2012,PÚBLICA,FEDERAL,1,48371,NORDESTE,PERNAMBUCO,NORDESTE
2012,PÚBLICA,FEDERAL,1,34982,NORDESTE,PIAUÍ,NORDESTE
2012,PÚBLICA,FEDERAL,1,36793,NORDESTE,RIO GRANDE DO NORTE,NORDESTE
2012,PÚBLICA,FEDERAL,1,30373,NORDESTE,SERGIPE,NORDESTE
2012,PÚBLICA,FEDERAL,1,11662,NORTE,ACRE,NORTE
2012,PÚBLICA,FEDERAL,1,6467,NORTE,AMAPÁ,NORTE
2012,PÚBLICA,FEDERAL,1,29493,NORTE,AMAZONAS,NORTE
2012,PÚBLICA,FEDERAL,1,56557,NORTE,PARÁ,NORTE
2012,PÚBLICA,FEDERAL,1,9715,NORTE,RONDÔNIA,NORTE
2012,PÚBLICA,FEDERAL,1,7795,NORTE,RORAIMA,NORTE
2012,PÚBLICA,FEDERAL,1,17707,NORTE,TOCANTINS,NORTE
2012,PÚBLICA,FEDERAL,1,26103,SUDESTE,ESPÍRITO SANTO,SUDESTE
2012,PÚBLICA,FEDERAL,1,151530,SUDESTE,MINAS GERAIS,SUDESTE
2012,PÚBLICA,FEDERAL,1,114994,SUDESTE,RIO DE JANEIRO,SUDESTE
2012,PÚBLICA,FEDERAL,1,38452,SUDESTE,SÃO PAULO,SUDESTE
2012,PÚBLICA,FEDERAL,1,55759,SUL,PARANÁ,SUL
2012,PÚBLICA,FEDERAL,1,88555,SUL,RIO GRANDE DO SUL,SUL
2012,PÚBLICA,FEDERAL,1,30668,SUL,SANTA CATARINA,SUL
2012,PÚBLICA,ESTADUAL,2,715,CENTRO-OESTE,DISTRITO FEDERAL,CENTRO-OESTE
2012,PÚBLICA,ESTADUAL,2,18412,CENTRO-OESTE,GOIÁS,CENTRO-OESTE
