Ano Censo,Categoria Administrativa,Sub Categoria Administrativa,Id Categoria Administrativa,Número de Vínculos de Alunos,Região,UF,Nome Região
2011,PÚBLICA,FEDERAL,1,27958,CENTRO-OESTE,DISTRITO FEDERAL,CENTRO-OESTE
2011,PÚBLICA,FEDERAL,1,29201,CENTRO-OESTE,GOIÁS,CENTRO-OESTE
2011,PÚBLICA,FEDERAL,1,22255,CENTRO-OESTE,MATO GROSSO,CENTRO-OESTE
2011,PÚBLICA,FEDERAL,1,20034,CENTRO-OESTE,MATO GROSSO DO SUL,CENTRO-OESTE
2011,PÚBLICA,FEDERAL,1,29195,NORDESTE,ALAGOAS,NORDESTE
2011,PÚBLICA,FEDERAL,1,39724,NORDESTE,BAHIA,NORDESTE
2011,PÚBLICA,FEDERAL,1,36912,NORDESTE,CEARÁ,NORDESTE
2011,PÚBLICA,FEDERAL,1,21687,NORDESTE,MARANHÃO,NORDESTE
2011,PÚBLICA,FEDERAL,1,49246,NORDESTE,PARAÍBA,NORDESTE
2011,PÚBLICA,FEDERAL,1,48298,NORDESTE,PERNAMBUCO,NORDESTE
2011,PÚBLICA,FEDERAL,1,29884,NORDESTE,PIAUÍ,NORDESTE
2011,PÚBLICA,FEDERAL,1,35051,NORDESTE,RIO GRANDE DO NORTE,NORDESTE
2011,PÚBLICA,FEDERAL,1,30674,NORDESTE,SERGIPE,NORDESTE
2011,PÚBLICA,FEDERAL,1,13311,NORTE,ACRE,NORTE
2011,PÚBLICA,FEDERAL,1,6666,NORTE,AMAPÁ,NORTE
2011,PÚBLICA,FEDERAL,1,26949,NORTE,AMAZONAS,NORTE
2011,PÚBLICA,FEDERAL,1,45094,NORTE,PARÁ,NORTE
2011,PÚBLICA,FEDERAL,1,10031,NORTE,RONDÔNIA,NORTE
2011,PÚBLICA,FEDERAL,1,8138,NORTE,RORAIMA,NORTE
2011,PÚBLICA,FEDERAL,1,14904,NORTE,TOCANTINS,NORTE
2011,PÚBLICA,FEDERAL,1,27465,SUDESTE,ESPÍRITO SANTO,SUDESTE
2011,PÚBLICA,FEDERAL,1,140363,SUDESTE,MINAS GERAIS,SUDESTE
2011,PÚBLICA,FEDERAL,1,109316,SUDESTE,RIO DE JANEIRO,SUDESTE
2011,PÚBLICA,FEDERAL,1,34558,SUDESTE,SÃO PAULO,SUDESTE
2011,PÚBLICA,FEDERAL,1,58770,SUL,PARANÁ,SUL
2011,PÚBLICA,FEDERAL,1,88621,SUL,RIO GRANDE DO SUL,SUL
2011,PÚBLICA,FEDERAL,1,28631,SUL,SANTA CATARINA,SUL
2011,PÚBLICA,ESTADUAL,2,633,CENTRO-OESTE,DISTRITO FEDERAL,CENTRO-OESTE
2011,PÚBLICA,ESTADUAL,2,19685,CENTRO-OESTE,GOIÁS,CENTRO-OESTE
2011,PÚBLICA,ESTADUAL,2,13607,CENTRO-OESTE,MATO GROSSO,CENTRO-OESTE
2011,PÚBLICA,ESTADUAL,2,7459,CENTRO-OESTE,MATO GROSSO DO SUL,CENTRO-OESTE
2011,PÚBLICA,ESTADUAL,2,9349,NORDESTE,ALAGOAS,NORDESTE
2011,PÚBLICA,ESTADUAL,2,46606,NORDESTE,BAHIA,NORDESTE
2011,PÚBLICA,ESTADUAL,2,35338,NORDESTE,CEARÁ,NORDESTE
2011,PÚBLICA,ESTADUAL,2,21248,NORDESTE,MARANHÃO,NORDESTE
2011,PÚBLICA,ESTADUAL,2,18010,NORDESTE,PARAÍBA,NORDESTE
2011,PÚBLICA,ESTADUAL,2,17398,NORDESTE,PERNAMBUCO,NORDESTE
2011,PÚBLICA,ESTADUAL,2,13696,NORDESTE,PIAUÍ,NORDESTE
2011,PÚBLICA,ESTADUAL,2,12048,NORDESTE,RIO GRANDE DO NORTE,NORDESTE
2011,PÚBLICA,ESTADUAL,2,48,NORDESTE,SERGIPE,NORDESTE
2011,PÚBLICA,ESTADUAL,2,1950,NORTE,AMAPÁ,NORTE
2011,PÚBLICA,ESTADUAL,2,22603,NORTE,AMAZONAS,NORTE
2011,PÚBLICA,ESTADUAL,2,15081,NORTE,PARÁ,NORTE
2011,PÚBLICA,ESTADUAL,2,4509,NORTE,RORAIMA,NORTE
2011,PÚBLICA,ESTADUAL,2,45021,NORTE,TOCANTINS,NORTE
2011,PÚBLICA,ESTADUAL,2,270,SUDESTE,ESPÍRITO SANTO,SUDESTE
2011,PÚBLICA,ESTADUAL,2,19199,SUDESTE,MINAS GERAIS,SUDESTE
2011,PÚBLICA,ESTADUAL,2,36016,SUDESTE,RIO DE JANEIRO,SUDESTE
